Date,Principal projection,10 year migration variant,High international migration variant,Low international migration variant,Alternative internal migration variant
2033-01-01,47135 (4.7%),46133 (4.6%),61343 (6.1%),32920 (3.3%),49941 (4.9%)
2043-01-01,86840 (8.6%),87049 (8.6%),119720 (11.8%),53946 (5.4%),92528 (9.2%)
